lol,property_id,unit,tenant_id,name,status,balance_0_30_in_cents,balance_31_60_in_cents,balance_61_90_in_cents,balance_over_90_in_cents,total_owed_in_cents,housing_authority_in_cents,general_notes,court_registry_in_cents,file_date,summons_served,case_number,default_date,judgement,writ_of_possession,motion_to_strike,stipulations,twenty_four_hour_notice,three_day,rent,three_day_sign,prop_asst,legal_name,dba,address,city_state_zip,apt_no
,094,01-0101,t0010898,Lyle Mcintosh,Current,129870,0,0,0,129870,0,,,2016-12-21,,3016-033389-tt-06,2017-01-16,,,,,,2017-02-14,1935,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0101
,094,01-0106,t0067305,Brett Kerr,Notice,21560,0,0,0,21560,0,,,,,,,,,,,,2017-02-14,1545,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0106
,094,01-0143,t0010993,Gil Dejesus,Current,12430,0,0,0,12430,0,,,,,,,,,,,,2017-02-14,1590,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0143
,094,01-0211,t0011303,Wade Bowen,Current,39930,0,0,0,39930,0,,,,,,,,,,,,2017-02-14,1575,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0211
,094,01-0214,t0012139,Jelani Solis,Current,145310,0,0,0,145310,0,,,,,,,,,,,,2017-02-14,1575,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0214
,094,01-0305,t0019425,Jin Floyd,Current,20020,0,0,0,20020,0,,,,,,,,,,,,2017-02-14,1600,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0305
,094,01-0315,t0020761,Shad Cervantes,Current,64570,0,0,0,64570,0,,,,,,,,,,,,2017-02-14,1390,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0315
,094,01-0336,t0011692,Vladimir Aguilar,Current,179560,0,0,0,179560,0,,,,,,,,,,,,2017-02-14,1600,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0336
,094,01-0343,t0010910,Marvin Hurley,Current,10450,0,0,0,10450,0,,,,,,,,,,,,2017-02-14,1615,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0343
,094,01-0405,t0016136,Laith Mays,Notice,143920,0,0,0,143920,0,,,,,,,,,,,,2017-02-14,1600,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0405
,094,01-0434,t0016307,Ira Small,Current,134965,0,0,0,134965,0,,,,,,,,,,,,2017-02-14,1235,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0434
,094,01-0502,t0015311,Devin Hood,Current,209600,0,0,0,209600,0,,,,,,,,,,,,2017-02-14,1985,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0502
,094,01-0510,t0018555,Rahim Banks,Notice,68453,0,0,0,68453,0,,,,,,,,,,,,2017-02-14,1610,Debi Smith,Matthew Rodriguez,Intercontinental Residences LLC,   Intercontinental Residences ,2900 NW 24 Street  Drive,Miami FL 33125,0510
